[ 1039170ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1039177ms] [LOG] [Fast Refresh] done in 113ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046584ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046586ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046587ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046589ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046590ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046592ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046593ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046594ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046595ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046596ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046601ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046604ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046605ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046607ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
